ids,names,popularity,markets,artists,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,ids_artist,names_artist,monthly_listeners,popularity_artist,followers,genres,first_release,last_release,num_releases,playlists_found_artist
6UIxGIqWlO5wsddY44AV1R,Naked as We Came,67,185,4M5nCE77Qaxayuhp3fVn4V,23/03/2004,152613,0.653,0.386,0.205,0.0448,0.106,-16.699,0.0366,172.373,0.623,4,1,4,4M5nCE77Qaxayuhp3fVn4V,iron & wine,4819588,64,1081782,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler",2002,2024,20,Alone Again
7yplIuBnFYA8eUje0Vi0UP,Peggy's Cove,61,185,3pyGXjDKAt3czGsh7vxkT0,30/06/2023,135344,0.994,0.415,0.0875,0.938,0.0946,-26.532,0.0344,103.774,0.204,0,1,3,3pyGXjDKAt3czGsh7vxkT0,sarah watson,726397,50,2478,,2023,2024,20,Peaceful Piano
12CHYifZr1nmh6andRykpi,Prato Di Girasoli,58,185,6ySvmMDgTOV3XTT6sgIovK,03/05/2024,158079,0.994,0.406,0.0167,0.917,0.221,-30.943,0.0348,95.103,0.256,0,1,4,6ySvmMDgTOV3XTT6sgIovK,nascondiglio,1096893,57,434,,2022,2024,9,Perfect Concentration
5GCU2LJWPzoP8Q6nexs61z,Let's Go,80,185,0RESbWvOMyua0yuyVrztJ5,23/06/2023,140106,0.00258,0.654,0.636,0,0.412,-6.904,0.0845,75.486,0.267,8,1,4,0RESbWvOMyua0yuyVrztJ5,key glock,15078272,75,1962758,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",2017,2024,20,RapCaviar
252ODAgPlMKwwh9XWo8xgW,Collect,18,0,3lrDYjsghBMfUTiLziD9q9,03/10/2023,176757,0.00108,0.373,0.671,0.000526,0.133,-5.803,0.0292,176.192,0.23,9,0,4,3lrDYjsghBMfUTiLziD9q9,torres,93920,35,50678,art pop,2013,2024,18,Noisy
1iD0a0plhO55cWEJa5UGcZ,The Science of Selling Yourself Short,54,184,20oQv3LStCKCjI9oQ0JNha,19/05/2003,186266,0.16,0.719,0.815,0,0.0367,-3.546,0.0305,93.126,0.937,5,1,4,20oQv3LStCKCjI9oQ0JNha,less than jake,715510,53,369789,"modern ska punk, pop punk, punk, ska, ska punk, skate punk",1996,2022,20,The Essential Ska
2Rxk1cyPOIWIKIXFV3ZQGl,Good Girls II,37,185,0Maq4Nk8ZM6keGZjTCXGIH,26/04/2024,201351,0.0528,0.594,0.476,0.000494,0.358,-10.899,0.099,154.892,0.381,8,0,4,0Maq4Nk8ZM6keGZjTCXGIH,ye ali,94974,32,54611,"indiana hip hop, trap soul",2014,2024,20,R&B Weekly
4QmrjOhetgFIAorbown2aB,RUNNING BACK 2 YOU!,36,185,1Pq3b64hsWb48FjFPfV5aq,19/04/2024,173168,0.0015,0.456,0.756,0.000536,0.174,-6.511,0.0567,176.248,0.238,5,1,4,1Pq3b64hsWb48FjFPfV5aq,presence,341024,45,79610,sad rap,2021,2024,20,soda
4xPcKCcKH9ioUiOxLloJOa,Heugstatt,54,185,6U9R5Ba5DxvK0ALylOx60v,12/02/2023,185512,0.986,0.502,0.0189,0.887,0.126,-27.991,0.0353,142.393,0.0382,7,0,4,6U9R5Ba5DxvK0ALylOx60v,alfons daiminger,996748,52,984,,2020,2024,19,Peaceful Piano
551Lg3Jo8w4aP0gBmgf3qQ,The way to lose you (Korean Ver.),56,185,6zn0ihyAApAYV51zpXxdEp,05/01/2024,261600,0.862,0.468,0.168,0,0.11,-9.557,0.0402,123.088,0.303,3,1,4,6zn0ihyAApAYV51zpXxdEp,10cm,1573397,60,579648,korean pop,2011,2024,20,Korean OSTs
5Za6LTepYPw8X903BdTS90,A Good Hearted Woman,0,0,5W5bDNCqJ1jbCgTxDD0Cb3,07/09/2023,298866,0.278,0.643,0.652,0.0582,0.159,-8.48,0.028,102.93,0.86,2,1,4,5W5bDNCqJ1jbCgTxDD0Cb3,willie nelson,10567655,69,2173205,"classic country pop, classic texas country, country, country rock, nashville sound, outlaw country, singer-songwriter",2016,2024,20,New Traditions Country Heroes
7DIxVMCTh1RGD4pVRshvnt,Mississippi Goddam,33,185,1c4rxrxy8eDLvMVL1DTiBe,20/07/2015,218933,0.282,0.816,0.571,0.00443,0.0553,-6.365,0.0615,85.025,0.386,7,0,4,1c4rxrxy8eDLvMVL1DTiBe,andra day,2356975,56,412981,r&b,2015,2024,20,R&B Weekly
25zlnOAzbVoOzIeXSvQFf1,Got It On Me,74,184,0eDvMgVFoNV3TpwtrVCoTj,03/07/2020,164579,0.00815,0.688,0.647,1.65E-05,0.095,-7.258,0.19,88.834,0.195,2,1,4,0eDvMgVFoNV3TpwtrVCoTj,pop smoke,21538941,76,14007546,"brooklyn drill, rap",2019,2022,20,Power Gaming
1oh3WIRKgoNi60o9SMykwS,Woseltelha,60,185,05ai8foZsZwk0cni0IOuNj,12/01/2024,248241,0.13,0.671,0.744,2.25E-05,0.105,-6.582,0.0381,91.037,0.472,5,0,4,05ai8foZsZwk0cni0IOuNj,haifa wehbe,612489,51,710296,"arab pop, lebanese pop",2002,2024,20,Yalla 
0PBYOiDJxW54ZRjMl8xXs8,Free Big Meech,52,183,1GVenmuuAtusi17LY6FvgI,19/04/2024,178695,0.0377,0.706,0.636,0,0.195,-5.276,0.102,91.868,0.117,1,1,4,1GVenmuuAtusi17LY6FvgI,skilla baby,2008356,60,119163,detroit hip hop,2019,2024,20,New Music Friday
1wcr8DjnN59Awev8nnKpQ4,Drunk-Dazed,75,185,5t5FqBwTcgKTaWmfEbwQY9,26/04/2021,193260,0.000707,0.599,0.869,0,0.0911,-5.174,0.0618,132.889,0.453,5,0,4,5t5FqBwTcgKTaWmfEbwQY9,enhypen,9395602,76,8446739,"anime, k-pop boy group",2021,2024,20,K-Pop ON! (온)
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,81,184,1Xyo4u8uXC1ZmMpatF05PJ,25/11/2016,260252,0.111,0.586,0.525,0,0.134,-7.163,0.0616,133.63,0.507,1,0,4,1Xyo4u8uXC1ZmMpatF05PJ,the weeknd,113553798,95,81435797,"canadian contemporary r&b, canadian pop, pop",2011,2024,20,Daily Lift
